,rules,support,confidence,lift
75,{SBBE_0=high} => {SBGL_4=high},0.1159040332,0.5043778191,1.227381721
60,{SBBE_0=high} => {SBPA_2=high},0.1030088711,0.4482621385,1.220479991
72,{SBBE_0=high} => {SBBR_4=high},0.1131908667,0.4925709737,1.215146699
61,{SBBE_0=high} => {SBCT_4=high},0.1011492851,0.4401698063,1.177147412
82,{SBBE_0=high} => {SBBR_3=high},0.1169405237,0.5088882993,1.175485028
55,{SBBE_0=high} => {SBRJ_2=high},0.0948693717,0.4128416025,1.169872416
79,{SBBE_0=high} => {SBGL_3=high},0.113709112,0.4948262138,1.165574055
70,{SBBE_0=high} => {SBCF_4=high},0.1051428223,0.4575484213,1.156492592
84,{SBBE_0=high} => {SBGR_3=high},0.1199585404,0.5220217564,1.155145688
56,{SBBE_0=high} => {SBSV_0=high},0.09392433619,0.4087291059,1.1514549
54,{SBBE_0=high} => {SBPA_3=high},0.09240008536,0.4020960467,1.14765132
85,{SBBE_0=high} => {SBGR_4=high},0.1188305948,0.5171132927,1.140514176
57,{SBBE_0=high} => {SBCF_0=high},0.09386336616,0.4084637835,1.138485639
76,{SBBE_0=high} => {SBCF_3=high},0.1081608389,0.4706818785,1.137871447
83,{SBBE_0=high} => {SBGR_2=high},0.1157211231,0.503581852,1.137593519
,,,,
81,{SBBE_0=high} => {SBGR_1=high},0.1114227357,0.4848766251,1.123977665
80,{SBBE_0=high} => {SBBR_2=high},0.1102947901,0.4799681613,1.123556383
63,{SBBE_0=high} => {SBGL_0=high},0.09776544828,0.425444415,1.119243977
58,{SBBE_0=high} => {SBSV_4=high},0.09398530622,0.4089944282,1.118486388
66,{SBBE_0=high} => {SBCT_3=high},0.1002957047,0.4364552932,1.112348923
64,{SBBE_0=high} => {SBCT_1=high},0.09895436393,0.4306182011,1.110937385
59,{SBBE_0=high} => {SBKP_2=high},0.09240008536,0.4020960467,1.095147511
65,{SBBE_0=high} => {SBSV_2=high},0.09712526293,0.4226585301,1.089631229
74,{SBBE_0=high} => {SBBR_1=high},0.1028869311,0.4477314938,1.089535326
69,{SBBE_0=high} => {SBGL_1=high},0.09877145383,0.429822234,1.0884251
62,{SBBE_0=high} => {SBSV_1=high},0.09319269579,0.4055452375,1.083932244
73,{SBBE_0=high} => {SBGL_2=high},0.09983842941,0.4344653754,1.061267981
,,,,
68,{SBBE_0=high} => {SBBR_0=high},0.09550955705,0.4156274874,1.052480197
78,{SBBE_0=high} => {SBGR_0=high},0.1020333506,0.4440169806,1.047396017
71,{SBBE_0=high} => {SBCT_2=high},0.09584489224,0.4170867604,1.042732795
67,{SBBE_0=high} => {SBCF_2=high},0.09355851599,0.4071371717,1.03121926
,,,,
,,,,
,,,,
1,{} => {SBRJ_4=low},0.4014876688,0.4014876688,1
2,{} => {SBBR_4=high},0.4053592659,0.4053592659,1
3,{} => {SBKP_1=low},0.4060909063,0.4060909063,1
4,{} => {SBKP_3=low},0.4064872115,0.4064872115,1
5,{} => {SBGL_2=high},0.4093832881,0.4093832881,1
6,{} => {SBBR_1=high},0.410938024,0.410938024,1
7,{} => {SBGL_4=high},0.410938024,0.410938024,1
8,{} => {SBCF_3=high},0.4136511904,0.4136511904,1
9,{} => {SBPA_4=low},0.4223089352,0.4223089352,1
10,{} => {SBGR_0=high},0.423924641,0.423924641,1
11,{} => {SBGL_3=high},0.4245343414,0.4245343414,1
12,{} => {SBBR_2=high},0.4271865378,0.4271865378,1
13,{} => {SBRF_0=low},0.4305398896,0.4305398896,1
14,{} => {SBGR_1=high},0.4313934701,0.4313934701,1
15,{} => {SBBR_3=high},0.4329177209,0.4329177209,1
16,{} => {SBKP_4=low},0.4395024845,0.4395024845,1
17,{} => {SBGR_2=high},0.4426729263,0.4426729263,1
18,{} => {SBGR_3=high},0.4519098863,0.4519098863,1
19,{} => {SBGR_4=high},0.4534036521,0.4534036521,1
20,{} => {SBRF_2=low},0.4744383136,0.4744383136,1
21,{} => {SBRF_1=low},0.4754138341,0.4754138341,1
22,{} => {SBRF_4=low},0.4830655733,0.4830655733,1
23,{} => {SBRF_3=low},0.4900466421,0.4900466421,1
24,{} => {SBVT_0=low},0.5063256409,0.5063256409,1
25,{} => {SBVT_1=low},0.5095875377,0.5095875377,1
26,{} => {SBVT_2=low},0.5135201049,0.5135201049,1
27,{} => {SBVT_3=low},0.5361399872,0.5361399872,1
28,{} => {SBFZ_0=low},0.5479376886,0.5479376886,1
29,{} => {SBVT_4=low},0.5632106819,0.5632106819,1
30,{} => {SBFZ_3=low},0.5778739749,0.5778739749,1
31,{} => {SBFZ_2=low},0.5907081669,0.5907081669,1
32,{} => {SBFZ_1=low},0.5917446575,0.5917446575,1
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1
40,{} => {SBGO_1=low},0.700941987,0.700941987,1
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1
