,rules,support,confidence,lift
54,{SBBR_0=high} => {SBSP_0=high},0.1753193305,0.443955535,1.403805033
55,{SBBR_0=high} => {SBSP_1=high},0.1783983172,0.4517523545,1.396685437
134,{SBBR_0=high} => {SBBR_1=high},0.2218699509,0.5618341825,1.367199309
56,{SBBR_0=high} => {SBSP_2=high},0.1747401152,0.4424888065,1.336798703
106,{SBBR_0=high} => {SBRJ_0=high},0.1806237234,0.4573876795,1.325180008
111,{SBBR_0=high} => {SBRJ_1=high},0.1831234948,0.4637177706,1.308952244
139,{SBBR_0=high} => {SBBR_2=high},0.218272719,0.552725027,1.293872765
110,{SBBR_0=high} => {SBRJ_2=high},0.1796482029,0.4549174,1.289102926
128,{SBBR_0=high} => {SBCF_2=high},0.1984574582,0.5025474757,1.272879688
122,{SBBR_0=high} => {SBCF_1=high},0.1887327379,0.4779218774,1.270649323
136,{SBBR_0=high} => {SBCF_3=high},0.2053165869,0.5199166281,1.256896245
114,{SBBR_0=high} => {SBCF_0=high},0.1773008566,0.4489732901,1.251395262
143,{SBBR_0=high} => {SBGR_2=high},0.2178459287,0.5516442798,1.246166745
105,{SBBR_0=high} => {SBRJ_3=high},0.16516782,0.4182491894,1.236354705
140,{SBBR_0=high} => {SBGR_1=high},0.2106209798,0.5333487726,1.236339466
137,{SBBR_0=high} => {SBGR_0=high},0.2064140475,0.5226956925,1.232992003
124,{SBBR_0=high} => {SBGL_0=high},0.1842819254,0.4666512274,1.227649388
113,{SBBR_0=high} => {SBCT_0=high},0.1731244094,0.4383974062,1.223060905
129,{SBBR_0=high} => {SBGL_1=high},0.1897692284,0.4805465493,1.216872662
141,{SBBR_0=high} => {SBBR_3=high},0.2079687833,0.5266327003,1.216472957
144,{SBBR_0=high} => {SBGR_3=high},0.2170533183,0.5496371777,1.216253936
125,{SBBR_0=high} => {SBCT_1=high},0.1845258056,0.4672687973,1.205491023
126,{SBBR_0=high} => {SBSV_2=high},0.1838246502,0.4654932839,1.200061002
138,{SBBR_0=high} => {SBGL_3=high},0.1993110386,0.5047089702,1.188853106
133,{SBBR_0=high} => {SBGL_2=high},0.1917812395,0.4856415007,1.186275832
131,{SBBR_0=high} => {SBCT_2=high},0.187117032,0.4738304771,1.184594249
132,{SBBR_0=high} => {SBBR_4=high},0.1895558333,0.4800061757,1.184150002
