,rules,support,confidence,lift
55,{SBCF_0=high} => {SBSP_0=high},0.1584001463,0.4414988529,1.396036907
59,{SBCF_0=high} => {SBSP_1=high},0.1584611164,0.4416687909,1.365510023
60,{SBCF_0=high} => {SBSP_2=high},0.1620888333,0.4517801003,1.364868542
111,{SBCF_0=high} => {SBRJ_0=high},0.1680029266,0.4682640836,1.356691992
118,{SBCF_0=high} => {SBRJ_1=high},0.1700454227,0.4739570057,1.337854888
128,{SBCF_0=high} => {SBCF_1=high},0.1787641374,0.4982581358,1.324717266
116,{SBCF_0=high} => {SBRJ_2=high},0.1653202451,0.4607868128,1.305735126
54,{SBCF_0=high} => {SBSP_3=high},0.1461451696,0.4073413204,1.303738641
56,{SBCF_0=high} => {SBVT_2=high},0.1474865104,0.4110799558,1.279864824
58,{SBCF_0=high} => {SBVT_1=high},0.1472731153,0.4104851729,1.269458389
110,{SBCF_0=high} => {SBRJ_3=high},0.1534615736,0.4277338771,1.264391671
134,{SBCF_0=high} => {SBCF_2=high},0.1787336524,0.4981731668,1.2618002
120,{SBCF_0=high} => {SBCT_0=high},0.161479133,0.4500807205,1.255655543
143,{SBCF_0=high} => {SBCF_3=high},0.1860500564,0.5185657235,1.253630439
144,{SBCF_0=high} => {SBGR_0=high},0.1906228089,0.5313110715,1.253314906
136,{SBCF_0=high} => {SBBR_0=high},0.1773008566,0.4941796244,1.251395262
142,{SBCF_0=high} => {SBBR_1=high},0.1840990153,0.5131277084,1.2486742
57,{SBCF_0=high} => {SBRJ_4=high},0.1441941286,0.4019033053,1.247741257
132,{SBCF_0=high} => {SBSV_2=high},0.1735207146,0.4836434701,1.246852935
130,{SBCF_0=high} => {SBGL_0=high},0.1696491175,0.4728524089,1.243963234
147,{SBCF_0=high} => {SBGR_1=high},0.1924214249,0.5363242417,1.24323681
146,{SBCF_0=high} => {SBBR_2=high},0.1902265037,0.5302064746,1.241159137
137,{SBCF_0=high} => {SBCF_4=high},0.1754717556,0.4890814853,1.236195096
135,{SBCF_0=high} => {SBGL_1=high},0.1745267201,0.4864474467,1.231815315
140,{SBCF_0=high} => {SBGL_2=high},0.1804712984,0.503016399,1.228717472
119,{SBCF_0=high} => {SBSV_0=high},0.1564795903,0.4361458068,1.228692108
115,{SBCF_0=high} => {SBKP_0=high},0.1552601896,0.4327470473,1.227020606
112,{SBCF_0=high} => {SBPA_0=high},0.1536444837,0.4282436911,1.226764282
114,{SBCF_0=high} => {SBKP_1=high},0.1535835137,0.4280737531,1.217030969
131,{SBCF_0=high} => {SBCT_1=high},0.1681553516,0.4686889285,1.209154772
127,{SBCF_0=high} => {SBSV_1=high},0.1621193184,0.4518650692,1.207734854
145,{SBCF_0=high} => {SBGL_3=high},0.1833064049,0.5109185147,1.203479825
149,{SBCF_0=high} => {SBGR_2=high},0.1909886291,0.5323306993,1.202537286
129,{SBCF_0=high} => {SBSV_3=high},0.1627290187,0.453564449,1.20209054
150,{SBCF_0=high} => {SBGR_3=high},0.1948907112,0.5432067295,1.202024443
122,{SBCF_0=high} => {SBKP_3=high},0.1570588056,0.4377602175,1.198551742
121,{SBCF_0=high} => {SBPA_1=high},0.1542541841,0.4299430708,1.195813342
61,{SBCF_0=high} => {SBRF_4=high},0.1439502485,0.4012235534,1.193339035
113,{SBCF_0=high} => {SBPA_3=high},0.1495290065,0.4167728779,1.189541522
124,{SBCF_0=high} => {SBKP_2=high},0.1566929854,0.4367405897,1.189505278
123,{SBCF_0=high} => {SBSV_4=high},0.1556869798,0.4339366131,1.18669635
126,{SBCF_0=high} => {SBCT_4=high},0.1591317867,0.4435381086,1.186155273
138,{SBCF_0=high} => {SBCT_2=high},0.168795537,0.4704732773,1.176201121
117,{SBCF_0=high} => {SBKP_4=high},0.148553486,0.4140538703,1.172902341
148,{SBCF_0=high} => {SBBR_3=high},0.181721184,0.5065001275,1.169968571
151,{SBCF_0=high} => {SBGR_4=high},0.1894338932,0.527997281,1.16451925
125,{SBCF_0=high} => {SBPA_2=high},0.1533091486,0.4273090322,1.163431124
139,{SBCF_0=high} => {SBBR_4=high},0.168795537,0.4704732773,1.160632843
141,{SBCF_0=high} => {SBGL_4=high},0.1707770631,0.4759962614,1.158316421
133,{SBCF_0=high} => {SBCT_3=high},0.1628509588,0.4539043249,1.156819483
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,{} => {SBRJ_4=low},0.4014876688,0.4014876688,1
2,{} => {SBBR_4=high},0.4053592659,0.4053592659,1
3,{} => {SBKP_1=low},0.4060909063,0.4060909063,1
4,{} => {SBKP_3=low},0.4064872115,0.4064872115,1
5,{} => {SBGL_2=high},0.4093832881,0.4093832881,1
6,{} => {SBGL_4=high},0.410938024,0.410938024,1
7,{} => {SBBR_1=high},0.410938024,0.410938024,1
8,{} => {SBCF_3=high},0.4136511904,0.4136511904,1
9,{} => {SBPA_4=low},0.4223089352,0.4223089352,1
10,{} => {SBGR_0=high},0.423924641,0.423924641,1
11,{} => {SBGL_3=high},0.4245343414,0.4245343414,1
12,{} => {SBBR_2=high},0.4271865378,0.4271865378,1
13,{} => {SBRF_0=low},0.4305398896,0.4305398896,1
14,{} => {SBGR_1=high},0.4313934701,0.4313934701,1
15,{} => {SBBR_3=high},0.4329177209,0.4329177209,1
16,{} => {SBKP_4=low},0.4395024845,0.4395024845,1
17,{} => {SBGR_2=high},0.4426729263,0.4426729263,1
18,{} => {SBGR_3=high},0.4519098863,0.4519098863,1
19,{} => {SBGR_4=high},0.4534036521,0.4534036521,1
20,{} => {SBRF_2=low},0.4744383136,0.4744383136,1
21,{} => {SBRF_1=low},0.4754138341,0.4754138341,1
22,{} => {SBRF_4=low},0.4830655733,0.4830655733,1
