,rules,support,confidence,lift,,
54,{SBCT_0=high} => {SBSP_0=high},0.1564491053,0.4364687872,1.380131639,,
105,{SBCT_0=high} => {SBSP_1=high},0.1579733561,0.4407212111,1.362580385,,
106,{SBCT_0=high} => {SBSP_2=high},0.1602597323,0.4470998469,1.350729073,,
127,{SBCT_0=high} => {SBCT_1=high},0.1862329665,0.5195611499,1.340398301,,
108,{SBCT_0=high} => {SBRJ_0=high},0.1626070786,0.4536485797,1.31434679,,
114,{SBCT_0=high} => {SBRJ_1=high},0.1643447246,0.4584963429,1.294213539,,
134,{SBCT_0=high} => {SBCT_2=high},0.1832759199,0.5113114475,1.278298103,,
109,{SBCT_0=high} => {SBPA_0=high},0.1598634271,0.4459942167,1.27761316,,
116,{SBCT_0=high} => {SBCF_0=high},0.161479133,0.450501786,1.255655543,,
124,{SBCT_0=high} => {SBCF_1=high},0.1690394171,0.4715938085,1.253824907,,
113,{SBCT_0=high} => {SBRJ_2=high},0.1584916014,0.4421670352,1.25297212,,
144,{SBCT_0=high} => {SBGR_1=high},0.1924214249,0.5368259908,1.244399899,,
132,{SBCT_0=high} => {SBGL_1=high},0.1755327257,0.4897091342,1.240074782,,
130,{SBCT_0=high} => {SBCF_2=high},0.1752278755,0.4888586494,1.238207882,,
136,{SBCT_0=high} => {SBGL_2=high},0.1805322684,0.5036570845,1.230282474,,
126,{SBCT_0=high} => {SBGL_0=high},0.1668749809,0.4655553666,1.224766436,,
131,{SBCT_0=high} => {SBBR_0=high},0.1731244094,0.4829903045,1.223060905,,
117,{SBCT_0=high} => {SBPA_1=high},0.1574246258,0.4391903385,1.22153304,,
137,{SBCT_0=high} => {SBBR_1=high},0.179861598,0.501786018,1.221074685,,
121,{SBCT_0=high} => {SBPA_2=high},0.1607170076,0.4483755741,1.220788841,,
147,{SBCT_0=high} => {SBGR_2=high},0.1936408255,0.5402279299,1.220377163,,
141,{SBCT_0=high} => {SBGR_0=high},0.1851964759,0.5166695016,1.218776763,,
129,{SBCT_0=high} => {SBCT_3=high},0.1711733683,0.4775472019,1.217075663,,
148,{SBCT_0=high} => {SBGR_3=high},0.196353992,0.5477972444,1.212182475,,
107,{SBCT_0=high} => {SBRJ_3=high},0.1466634149,0.4091682259,1.209511157,,
139,{SBCT_0=high} => {SBCF_3=high},0.1777276469,0.4958326246,1.198673269,,
143,{SBCT_0=high} => {SBBR_2=high},0.1830930098,0.5108011567,1.195733272,,
128,{SBCT_0=high} => {SBSV_2=high},0.1659909155,0.4630889607,1.193862557,,
123,{SBCT_0=high} => {SBSV_1=high},0.1595280919,0.4450586834,1.189542898,,
111,{SBCT_0=high} => {SBKP_1=high},0.1499253117,0.418268413,1.189153991,,
133,{SBCT_0=high} => {SBCF_4=high},0.1681248666,0.4690423541,1.185544486,,
142,{SBCT_0=high} => {SBGL_3=high},0.1800445081,0.5022963089,1.183170029,,
115,{SBCT_0=high} => {SBSV_0=high},0.1502911319,0.4192889947,1.181203787,,
112,{SBCT_0=high} => {SBKP_0=high},0.1489802762,0.4156319102,1.178491966,,
118,{SBCT_0=high} => {SBKP_3=high},0.154040789,0.4297499575,1.176620303,,
120,{SBCT_0=high} => {SBKP_2=high},0.1547419443,0.4317060725,1.175793283,,
145,{SBCT_0=high} => {SBBR_3=high},0.1819650642,0.507654363,1.172634749,,
138,{SBCT_0=high} => {SBGL_4=high},0.1719050087,0.4795883654,1.167057652,,
122,{SBCT_0=high} => {SBCT_4=high},0.1563271652,0.4361285933,1.166339984,,
110,{SBCT_0=high} => {SBPA_3=high},0.1459927446,0.4072971594,1.162496191,,
125,{SBCT_0=high} => {SBSV_3=high},0.1570283206,0.4380847083,1.161064287,,
119,{SBCT_0=high} => {SBSV_4=high},0.1500167668,0.4185235584,1.144545918,,
149,{SBCT_0=high} => {SBGR_4=high},0.185409871,0.517264841,1.140848422,,
135,{SBCT_0=high} => {SBBR_4=high},0.163216779,0.4553495492,1.123323401,,
,,,,,,
,,,,,,
,,,,,,
