,rules,support,confidence,lift
96,{SBFZ_0=high} => {SBRF_3=high},0.1152638478,0.402020202,1.207975514
106,{SBFZ_0=high} => {SBSV_1=high},0.1292564704,0.4508240298,1.204952387
98,{SBFZ_0=high} => {SBSV_0=high},0.1222144316,0.4262626263,1.200849616
129,{SBFZ_0=high} => {SBGR_1=high},0.1477608755,0.515364168,1.194649905
112,{SBFZ_0=high} => {SBSV_2=high},0.1327927324,0.4631578947,1.194040272
99,{SBFZ_0=high} => {SBCT_0=high},0.1218486114,0.4249867092,1.185647136
116,{SBFZ_0=high} => {SBBR_0=high},0.1341035881,0.4677299309,1.184417548
115,{SBFZ_0=high} => {SBGL_1=high},0.1330670975,0.4641148325,1.175263151
109,{SBFZ_0=high} => {SBGL_0=high},0.1274578545,0.4445507709,1.169508296
124,{SBFZ_0=high} => {SBCF_3=high},0.1383105204,0.4824029771,1.166207153
122,{SBFZ_0=high} => {SBBR_1=high},0.1370911197,0.4781499203,1.163557258
130,{SBFZ_0=high} => {SBBR_3=high},0.1442855836,0.5032429559,1.162444805
133,{SBFZ_0=high} => {SBGR_3=high},0.150535012,0.5250398724,1.161824267
97,{SBFZ_0=high} => {SBRJ_1=high},0.1179465293,0.4113769272,1.161207929
118,{SBFZ_0=high} => {SBCT_2=high},0.1317562418,0.4595427964,1.148874503
114,{SBFZ_0=high} => {SBCF_2=high},0.1300490809,0.4535885167,1.148873764
103,{SBFZ_0=high} => {SBSV_4=high},0.1194098101,0.4164805954,1.138958981
121,{SBFZ_0=high} => {SBGL_2=high},0.1336158278,0.4660287081,1.13836769
101,{SBFZ_0=high} => {SBPA_1=high},0.1173368289,0.4092503987,1.138260203
111,{SBFZ_0=high} => {SBCT_1=high},0.1263299088,0.4406166932,1.136732158
100,{SBFZ_0=high} => {SBCF_0=high},0.1162088833,0.4053163211,1.129712914
128,{SBFZ_0=high} => {SBBR_2=high},0.1382800354,0.4822966507,1.129007139
107,{SBFZ_0=high} => {SBCF_1=high},0.1214827912,0.4237107921,1.126518489
126,{SBFZ_0=high} => {SBGR_0=high},0.1367252995,0.4768740032,1.124902771
127,{SBFZ_0=high} => {SBGL_3=high},0.1367862695,0.477086656,1.123788136
132,{SBFZ_0=high} => {SBGR_2=high},0.1424259976,0.4967570441,1.122176249
105,{SBFZ_0=high} => {SBPA_2=high},0.117428284,0.409569378,1.1151315
134,{SBFZ_0=high} => {SBGR_4=high},0.1443160687,0.5033492823,1.110157097
123,{SBFZ_0=high} => {SBGL_4=high},0.1303844161,0.4547581074,1.106634288
102,{SBFZ_0=high} => {SBKP_3=high},0.1153553029,0.4023391813,1.101571836
55,{SBFZ_0=medium} => {SBGL_4=high},0.07471877572,0.451880531,1.099631829
117,{SBFZ_0=high} => {SBCF_4=high},0.1242874127,0.433492823,1.095690019
54,{SBFZ_0=medium} => {SBSV_2=high},0.0702679633,0.4249631268,1.095572575
120,{SBFZ_0=high} => {SBBR_4=high},0.1273054294,0.4440191388,1.095371874
104,{SBFZ_0=high} => {SBKP_2=high},0.1150809377,0.4013822435,1.093203399
59,{SBFZ_0=medium} => {SBGR_1=high},0.07758436728,0.4692109145,1.08766346
113,{SBFZ_0=high} => {SBCT_3=high},0.1220010365,0.4255183413,1.084475033
108,{SBFZ_0=high} => {SBSV_3=high},0.1168490687,0.407549176,1.080135382
60,{SBFZ_0=medium} => {SBBR_3=high},0.07569429625,0.457780236,1.057430116
,,,,
,,,,
63,{SBFZ_0=medium} => {SBGR_4=high},0.0781635826,0.4727138643,1.04258945
,,,,
,,,,
,,,,
58,{SBFZ_0=medium} => {SBGL_3=high},0.07215803433,0.4363938053,1.027935229
62,{SBFZ_0=medium} => {SBGR_3=high},0.07621254154,0.4609144543,1.019925583
,,,,
57,{SBFZ_0=medium} => {SBGR_0=high},0.07133493888,0.4314159292,1.017671273
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,{} => {SBRJ_4=low},0.4014876688,0.4014876688,1
2,{} => {SBBR_4=high},0.4053592659,0.4053592659,1
3,{} => {SBKP_1=low},0.4060909063,0.4060909063,1
4,{} => {SBKP_3=low},0.4064872115,0.4064872115,1
5,{} => {SBGL_2=high},0.4093832881,0.4093832881,1
6,{} => {SBBR_1=high},0.410938024,0.410938024,1
7,{} => {SBGL_4=high},0.410938024,0.410938024,1
8,{} => {SBCF_3=high},0.4136511904,0.4136511904,1
9,{} => {SBPA_4=low},0.4223089352,0.4223089352,1
10,{} => {SBGR_0=high},0.423924641,0.423924641,1
11,{} => {SBGL_3=high},0.4245343414,0.4245343414,1
12,{} => {SBBR_2=high},0.4271865378,0.4271865378,1
13,{} => {SBRF_0=low},0.4305398896,0.4305398896,1
14,{} => {SBGR_1=high},0.4313934701,0.4313934701,1
15,{} => {SBBR_3=high},0.4329177209,0.4329177209,1
16,{} => {SBKP_4=low},0.4395024845,0.4395024845,1
17,{} => {SBGR_2=high},0.4426729263,0.4426729263,1
18,{} => {SBGR_3=high},0.4519098863,0.4519098863,1
19,{} => {SBGR_4=high},0.4534036521,0.4534036521,1
20,{} => {SBRF_2=low},0.4744383136,0.4744383136,1
21,{} => {SBRF_1=low},0.4754138341,0.4754138341,1
22,{} => {SBRF_4=low},0.4830655733,0.4830655733,1
23,{} => {SBRF_3=low},0.4900466421,0.4900466421,1
24,{} => {SBVT_0=low},0.5063256409,0.5063256409,1
25,{} => {SBVT_1=low},0.5095875377,0.5095875377,1
26,{} => {SBVT_2=low},0.5135201049,0.5135201049,1
27,{} => {SBVT_3=low},0.5361399872,0.5361399872,1
28,{} => {SBFZ_0=low},0.5479376886,0.5479376886,1
29,{} => {SBVT_4=low},0.5632106819,0.5632106819,1
30,{} => {SBFZ_3=low},0.5778739749,0.5778739749,1
31,{} => {SBFZ_2=low},0.5907081669,0.5907081669,1
32,{} => {SBFZ_1=low},0.5917446575,0.5917446575,1
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1
40,{} => {SBGO_1=low},0.700941987,0.700941987,1
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1
51,{} => {SBEG_2=low},0.937536201,0.937536201,1
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1
160,{SBFZ_0=high} => {SBBE_3=low},0.2433009176,0.8485911749,0.9990071889
143,{SBFZ_0=high} => {SBVT_4=low},0.1608999177,0.5611908559,0.9964137292
162,{SBFZ_0=high} => {SBBE_4=low},0.2506478066,0.8742158426,0.9950002528
69,{SBFZ_0=medium} => {SBVT_2=low},0.08435204097,0.510140118,0.9934180048
158,{SBFZ_0=high} => {SBGO_4=low},0.2139133616,0.746092504,0.9901716393
95,{SBFZ_0=medium} => {SBEG_4=low},0.1591317867,0.9623893805,0.9893528111
156,{SBFZ_0=high} => {SBGO_3=low},0.2078163583,0.7248272196,0.9883815798
67,{SBFZ_0=medium} => {SBVT_0=low},0.08255342499,0.4992625369,0.9860502738
159,{SBFZ_0=high} => {SBEG_0=low},0.2264122184,0.7896863371,0.9846091039
78,{SBFZ_0=medium} => {SBFL_1=low},0.1078255038,0.6521017699,0.9838512721
77,{SBFZ_0=medium} => {SBGO_0=low},0.1029479011,0.6226032448,0.9838264965
94,{SBFZ_0=medium} => {SBEG_3=low},0.1575465659,0.9528023599,0.9838136489
153,{SBFZ_0=high} => {SBFL_4=low},0.1911410542,0.6666666667,0.9811856904
154,{SBFZ_0=high} => {SBGO_1=low},0.1970551474,0.6872939926,0.980529067
163,{SBFZ_0=high} => {SBBE_2=low},0.2483919154,0.8663476874,0.9801277182
