,rules,support,confidence,lift
128,{SBGL_0=high} => {SBGL_1=high},0.2076029631,0.5461544631,1.383009484
54,{SBGL_0=high} => {SBSP_0=high},0.1659909155,0.4366829738,1.380808906
56,{SBGL_0=high} => {SBSP_1=high},0.1663262506,0.4375651616,1.352822808
105,{SBGL_0=high} => {SBRJ_0=high},0.1740999299,0.4580158794,1.327000079
57,{SBGL_0=high} => {SBSP_2=high},0.1662347956,0.4373245649,1.321197062
134,{SBGL_0=high} => {SBGL_2=high},0.2054080419,0.5403801428,1.319985838
111,{SBGL_0=high} => {SBRJ_1=high},0.1769045514,0.4653941776,1.313684296
140,{SBGL_0=high} => {SBGL_3=high},0.2089747889,0.5497634133,1.29497984
55,{SBGL_0=high} => {SBVT_1=high},0.1586745115,0.4174352394,1.290952028
110,{SBGL_0=high} => {SBRJ_2=high},0.1671188611,0.4396503328,1.245840521
114,{SBGL_0=high} => {SBCF_0=high},0.1696491175,0.446306841,1.243963234
136,{SBGL_0=high} => {SBGL_4=high},0.1936103405,0.5093431711,1.239464691
131,{SBGL_0=high} => {SBCT_2=high},0.1876047922,0.4935439891,1.23387878
125,{SBGL_0=high} => {SBSV_2=high},0.1814773039,0.4774240115,1.230818913
123,{SBGL_0=high} => {SBSV_3=high},0.1764167911,0.4641109953,1.230042254
129,{SBGL_0=high} => {SBBR_0=high},0.1842819254,0.4848023097,1.227649388
113,{SBGL_0=high} => {SBCT_0=high},0.1668749809,0.4390087417,1.224766436
139,{SBGL_0=high} => {SBGR_0=high},0.1973295125,0.519127436,1.224574808
112,{SBGL_0=high} => {SBSV_0=high},0.16522879,0.4346780014,1.224557066
127,{SBGL_0=high} => {SBCF_2=high},0.1837636802,0.4834389285,1.224480517
121,{SBGL_0=high} => {SBSV_1=high},0.1733987745,0.4561713048,1.219244464
141,{SBGL_0=high} => {SBBR_2=high},0.1976953327,0.5200898228,1.21747709
124,{SBGL_0=high} => {SBCT_1=high},0.1792214127,0.4714892934,1.216379339
135,{SBGL_0=high} => {SBBR_1=high},0.1899826235,0.4997995028,1.216240585
137,{SBGL_0=high} => {SBCF_3=high},0.1911715392,0.5029272596,1.215824519
104,{SBGL_0=high} => {SBRJ_3=high},0.1552297046,0.4083727645,1.207159754
142,{SBGL_0=high} => {SBGR_1=high},0.1979087279,0.520651215,1.206905647
107,{SBGL_0=high} => {SBPA_3=high},0.159558577,0.4197610073,1.198070158
122,{SBGL_0=high} => {SBCF_1=high},0.1709599732,0.4497553934,1.195763184
145,{SBGL_0=high} => {SBGR_2=high},0.2002255891,0.5267463309,1.189922174
