,rules,support,confidence,lift,,
138,{SBGR_0=high} => {SBGR_1=high},0.2518367223,0.5940601179,1.377072578,,
53,{SBGR_0=high} => {SBSP_0=high},0.181568759,0.4283043291,1.354315298,,
54,{SBGR_0=high} => {SBSP_1=high},0.1848306557,0.4359988494,1.347980232,,
141,{SBGR_0=high} => {SBGR_2=high},0.2481480352,0.5853588379,1.322328074,,
55,{SBGR_0=high} => {SBSP_2=high},0.181690699,0.4285919747,1.294815117,,
142,{SBGR_0=high} => {SBGR_3=high},0.2471115447,0.5829138501,1.289889573,,
121,{SBGR_0=high} => {SBSV_3=high},0.2050727068,0.4837480224,1.282086643,,
57,{SBGR_0=high} => {SBRJ_0=high},0.1838856202,0.4337695959,1.256751815,,
143,{SBGR_0=high} => {SBGR_4=high},0.2412279365,0.5690349489,1.255029478,,
112,{SBGR_0=high} => {SBCF_0=high},0.1906228089,0.4496620164,1.253314906,,
64,{SBGR_0=high} => {SBRJ_1=high},0.1881840076,0.443909104,1.253037633,,
124,{SBGR_0=high} => {SBSV_2=high},0.205529982,0.4848266935,1.249903334,,
120,{SBGR_0=high} => {SBCF_1=high},0.1987013383,0.4687185388,1.246180437,,
137,{SBGR_0=high} => {SBBR_2=high},0.2246440874,0.5299151445,1.240477163,,
119,{SBGR_0=high} => {SBSV_1=high},0.1958052617,0.4618869553,1.234521127,,
126,{SBGR_0=high} => {SBCF_2=high},0.2064750175,0.4870559471,1.233641899,,
128,{SBGR_0=high} => {SBBR_0=high},0.2064140475,0.4869121243,1.232992003,,
58,{SBGR_0=high} => {SBPA_0=high},0.1819650642,0.4292391773,1.229615993,,
122,{SBGR_0=high} => {SBGL_0=high},0.1973295125,0.4654825255,1.224574808,,
62,{SBGR_0=high} => {SBRJ_2=high},0.1831844648,0.4321156335,1.224489386,,
130,{SBGR_0=high} => {SBCT_2=high},0.2074505381,0.489357112,1.223411428,,
135,{SBGR_0=high} => {SBCF_3=high},0.2139133616,0.5046023299,1.219873994,,
111,{SBGR_0=high} => {SBCT_0=high},0.1851964759,0.4368617863,1.218776763,,
127,{SBGR_0=high} => {SBGL_1=high},0.2038837911,0.4809434776,1.21787779,,
123,{SBGR_0=high} => {SBCT_1=high},0.199920739,0.471594995,1.216652035,,
133,{SBGR_0=high} => {SBBR_1=high},0.2118098954,0.499640443,1.21585352,,
113,{SBGR_0=high} => {SBPA_1=high},0.1848916258,0.4361426722,1.213056476,,
117,{SBGR_0=high} => {SBPA_2=high},0.1887632229,0.4452754207,1.212348076,,
65,{SBGR_0=high} => {SBSV_0=high},0.1823918544,0.430245937,1.212071236,,
132,{SBGR_0=high} => {SBGL_2=high},0.2094625492,0.4941032648,1.206945372,,
56,{SBGR_0=high} => {SBRJ_3=high},0.1730329543,0.4081691356,1.206557822,,
136,{SBGR_0=high} => {SBGL_3=high},0.216474103,0.510642888,1.20283058,,
125,{SBGR_0=high} => {SBCT_3=high},0.199951224,0.4716669064,1.202089156,,
