,rules,support,confidence,lift
61,{SBSP_0=high} => {SBSP_1=high},0.2008657745,0.6351455562,1.963683287
62,{SBSP_0=high} => {SBSP_2=high},0.1864768466,0.5896471949,1.781377504
73,{SBSP_0=high} => {SBRJ_1=high},0.198152608,0.626566416,1.768630767
66,{SBSP_0=high} => {SBRJ_0=high},0.1887632229,0.5968768074,1.729319017
71,{SBSP_0=high} => {SBRJ_2=high},0.1922689998,0.6079622132,1.722787187
56,{SBSP_0=high} => {SBSP_3=high},0.1655641252,0.5235203393,1.675581783
54,{SBSP_0=high} => {SBSP_4=high},0.146846325,0.4643339117,1.585793369
65,{SBSP_0=high} => {SBRJ_3=high},0.167027406,0.5281472913,1.561216148
59,{SBSP_0=high} => {SBRJ_4=high},0.1456574094,0.4605745132,1.429890759
84,{SBSP_0=high} => {SBCF_1=high},0.1678809865,0.5308463466,1.411359435
90,{SBSP_0=high} => {SBCF_2=high},0.1757156358,0.5556198188,1.407304217
92,{SBSP_0=high} => {SBBR_0=high},0.1753193305,0.5543666859,1.403805033
91,{SBSP_0=high} => {SBGL_1=high},0.1747401152,0.5525351841,1.39916718
76,{SBSP_0=high} => {SBCF_0=high},0.1584001463,0.5008675535,1.396036907
98,{SBSP_0=high} => {SBBR_1=high},0.1814163339,0.5736456526,1.395942014
102,{SBSP_0=high} => {SBBR_2=high},0.1876352773,0.5933101986,1.388878502
87,{SBSP_0=high} => {SBCT_1=high},0.1695271774,0.5360516676,1.382941632
86,{SBSP_0=high} => {SBGL_0=high},0.1659909155,0.524869867,1.380808906
75,{SBSP_0=high} => {SBCT_0=high},0.1564491053,0.4946982842,1.380131639
96,{SBSP_0=high} => {SBGL_2=high},0.1771484315,0.5601503759,1.36827856
94,{SBSP_0=high} => {SBCT_2=high},0.1718440387,0.543377675,1.358464894
99,{SBSP_0=high} => {SBCF_3=high},0.1772703716,0.5605359553,1.355093297
100,{SBSP_0=high} => {SBGR_0=high},0.181568759,0.5741276268,1.354315298
103,{SBSP_0=high} => {SBGR_1=high},0.1844343505,0.5831887411,1.351871972
101,{SBSP_0=high} => {SBGL_3=high},0.1803493583,0.5702718334,1.343287875
55,{SBSP_0=high} => {SBVT_0=high},0.132091577,0.4176788124,1.342983541
106,{SBSP_0=high} => {SBGR_2=high},0.1869646069,0.5911895122,1.335499592
