,rules,support,confidence,lift,,
112,{SBVT_0=high} => {SBSP_0=high},0.132091577,0.424720643,1.342983541,,
115,{SBVT_0=high} => {SBVT_1=high},0.1346828034,0.4330523427,1.339249175,,
119,{SBVT_0=high} => {SBRJ_0=high},0.143188123,0.4603999216,1.333907316,,
116,{SBVT_0=high} => {SBSP_1=high},0.1340731031,0.4310919428,1.332809519,,
125,{SBVT_0=high} => {SBRJ_1=high},0.144895284,0.4658890414,1.315081165,,
124,{SBVT_0=high} => {SBRJ_2=high},0.1434320032,0.4611840816,1.30686087,,
117,{SBVT_0=high} => {SBSP_2=high},0.1330975825,0.4279553029,1.292891674,,
143,{SBVT_0=high} => {SBGL_1=high},0.1547419443,0.4975495001,1.25992869,,
128,{SBVT_0=high} => {SBCF_0=high},0.1403835015,0.4513820819,1.258109137,,
114,{SBVT_0=high} => {SBVT_2=high},0.1253239033,0.4029602039,1.254584621,,
113,{SBVT_0=high} => {SBVT_3=high},0.1244703228,0.400215644,1.251265132,,
136,{SBVT_0=high} => {SBCF_1=high},0.1459622595,0.4693197412,1.247778852,,
138,{SBVT_0=high} => {SBGL_0=high},0.1471816602,0.4732405411,1.244984319,,
148,{SBVT_0=high} => {SBGL_2=high},0.157790446,0.5073514997,1.239306817,,
118,{SBVT_0=high} => {SBRJ_3=high},0.1301405359,0.4184473633,1.236940512,,
135,{SBVT_0=high} => {SBSV_1=high},0.1434015182,0.4610860616,1.232380516,,
122,{SBVT_0=high} => {SBKP_1=high},0.133859708,0.4304058028,1.223661081,,
127,{SBVT_0=high} => {SBCT_0=high},0.1363899643,0.4385414625,1.223462799,,
123,{SBVT_0=high} => {SBKP_0=high},0.133859708,0.4304058028,1.220382189,,
126,{SBVT_0=high} => {SBSV_0=high},0.1346828034,0.4330523427,1.219977327,,
142,{SBVT_0=high} => {SBCF_2=high},0.1494680365,0.4805920408,1.217269764,,
132,{SBVT_0=high} => {SBKP_2=high},0.1388592507,0.4464810821,1.216034452,,
139,{SBVT_0=high} => {SBCT_1=high},0.1460537146,0.4696138012,1.21154082,,
144,{SBVT_0=high} => {SBBR_0=high},0.1483096058,0.4768672809,1.207555768,,
153,{SBVT_0=high} => {SBGL_3=high},0.1587049965,0.5102920996,1.20200429,,
140,{SBVT_0=high} => {SBSV_2=high},0.1441331586,0.4634385415,1.194763791,,
130,{SBVT_0=high} => {SBKP_3=high},0.1352620187,0.4349147226,1.190761009,,
133,{SBVT_0=high} => {SBPA_2=high},0.1352925037,0.4350127426,1.184405959,,
150,{SBVT_0=high} => {SBGL_4=high},0.1512971375,0.4864732405,1.1838117,,
120,{SBVT_0=high} => {SBPA_0=high},0.128494345,0.4131542835,1.183538552,,
151,{SBVT_0=high} => {SBCF_3=high},0.1512666524,0.4863752205,1.175810035,,
146,{SBVT_0=high} => {SBCT_2=high},0.1460841996,0.4697118212,1.174297452,,
155,{SBVT_0=high} => {SBGR_1=high},0.1573026857,0.5057831798,1.172440509,,
154,{SBVT_0=high} => {SBBR_2=high},0.1553211597,0.49941188,1.16907214,,
129,{SBVT_0=high} => {SBPA_1=high},0.1305673262,0.4198196432,1.167656754,,
