departure,arrival,travel_time_avg
SBBE,SBGR,03:37:14.96393
SBBE,SBKP,03:44:00
SBBE,SBGL,03:37:46.076779
SBBE,SBFZ,01:52:36.138082
SBBE,SBBR,02:30:11.016161
SBBE,SBCF,03:03:26.820759
SBBE,SBEG,02:02:22.01415
SBBE,SBRF,02:29:37.105263
SBBR,SBFZ,02:34:21.934847
SBBR,SBGR,01:40:31.462844
SBBR,SBSV,01:56:26.373337
SBBR,SBRJ,01:41:56.745283
SBBR,SBGO,00:41:34.081068
SBBR,SBCF,01:13:44.801552
SBBR,SBBE,02:28:25.984848
SBBR,SBCT,01:54:21.226415
SBBR,SBVT,01:50:21.01552
SBBR,SBEG,02:56:20.852502
SBBR,SBPA,02:36:11.710843
SBBR,SBFL,02:07:32.871138
SBBR,SBRF,02:32:59.879124
SBBR,SBGL,01:42:25.896354
SBBR,SBSP,01:37:58.201572
SBBR,SBKP,01:37:20.808131
SBCF,SBBE,03:04:52.197898
SBCF,SBKP,01:12:23.218125
SBCF,SBFL,01:43:52.307692
SBCF,SBCT,01:40:40.34636
SBCF,SBRJ,01:02:26.311205
SBCF,SBPA,02:20:22.364501
SBCF,SBGL,01:04:36.289148
SBCF,SBRF,02:33:19.626523
SBCF,SBGR,01:19:51.167375
SBCF,SBVT,01:00:52.123598
SBCF,SBSV,01:41:34.187243
SBCF,SBSP,01:18:16.101598
SBCF,SBFZ,02:48:11.186441
SBCF,SBEG,03:35:35.804481
SBCF,SBGO,01:24:05.536699
SBCF,SBBR,01:19:15.376242
SBCT,SBGL,01:26:07.72978
SBCT,SBSV,02:47:42.054795
SBCT,SBCF,01:33:35.555556
SBCT,SBGR,01:07:20.293833
SBCT,SBVT,01:39:47.692308
SBCT,SBFL,00:45:14.56
SBCT,SBSP,00:56:48.809657
SBCT,SBKP,01:03:01.440462
SBCT,SBPA,01:07:05.191529
SBCT,SBBR,01:52:13.067542
SBCT,SBRJ,01:21:12.257208
SBCT,SBRF,03:23:00
SBEG,SBFZ,03:22:45.021676
SBEG,SBSV,03:48:00
SBEG,SBCF,03:38:04.303448
SBEG,SBBR,02:49:48.943534
SBEG,SBGR,03:47:01.891324
SBEG,SBKP,03:43:03.551797
SBEG,SBGL,04:01:12.725889
SBEG,SBBE,02:03:06.216419
SBFL,SBCF,01:39:18.394161
SBFL,SBSP,01:05:04.806127
SBFL,SBGR,01:13:00.883952
SBFL,SBRJ,01:51:53.218391
SBFL,SBKP,01:12:36.378485
SBFL,SBCT,00:46:30.552712
SBFL,SBPA,00:59:43.16165
SBFL,SBBR,02:10:26.875784
SBFL,SBGL,01:31:50.01318
SBFZ,SBEG,03:18:37.734375
SBFZ,SBBE,01:54:02.89917
