,rules,support,confidence,lift
54,{SBEG_0=high} => {SBRJ_3=high},0.07038990336,0.4333708709,1.28105476
56,{SBEG_0=high} => {SBCT_4=high},0.07770630735,0.4784159159,1.279429096
57,{SBEG_0=high} => {SBBR_4=high},0.08307167027,0.5114489489,1.261717671
55,{SBEG_0=high} => {SBPA_2=high},0.07298112977,0.4493243243,1.223371996
62,{SBEG_0=high} => {SBBR_3=high},0.08554095662,0.5266516517,1.216516733
58,{SBEG_0=high} => {SBGL_4=high},0.07822455263,0.4816066066,1.171968955
59,{SBEG_0=high} => {SBGL_3=high},0.08057189891,0.4960585586,1.16847687
64,{SBEG_0=high} => {SBGR_3=high},0.08575435174,0.5279654655,1.168298109
60,{SBEG_0=high} => {SBBR_2=high},0.0798097735,0.4913663664,1.150238415
65,{SBEG_0=high} => {SBGR_4=high},0.08294973021,0.5106981982,1.126365427
61,{SBEG_0=high} => {SBGR_1=high},0.07298112977,0.4493243243,1.041564964
,,,,
63,{SBEG_0=high} => {SBGR_2=high},0.07292015974,0.4489489489,1.014177562
,,,,
1,{} => {SBRJ_4=low},0.4014876688,0.4014876688,1
2,{} => {SBBR_4=high},0.4053592659,0.4053592659,1
3,{} => {SBKP_1=low},0.4060909063,0.4060909063,1
4,{} => {SBKP_3=low},0.4064872115,0.4064872115,1
5,{} => {SBGL_2=high},0.4093832881,0.4093832881,1
6,{} => {SBGL_4=high},0.410938024,0.410938024,1
7,{} => {SBBR_1=high},0.410938024,0.410938024,1
8,{} => {SBCF_3=high},0.4136511904,0.4136511904,1
9,{} => {SBPA_4=low},0.4223089352,0.4223089352,1
10,{} => {SBGR_0=high},0.423924641,0.423924641,1
11,{} => {SBGL_3=high},0.4245343414,0.4245343414,1
12,{} => {SBBR_2=high},0.4271865378,0.4271865378,1
13,{} => {SBRF_0=low},0.4305398896,0.4305398896,1
14,{} => {SBGR_1=high},0.4313934701,0.4313934701,1
15,{} => {SBBR_3=high},0.4329177209,0.4329177209,1
16,{} => {SBKP_4=low},0.4395024845,0.4395024845,1
17,{} => {SBGR_2=high},0.4426729263,0.4426729263,1
18,{} => {SBGR_3=high},0.4519098863,0.4519098863,1
19,{} => {SBGR_4=high},0.4534036521,0.4534036521,1
20,{} => {SBRF_2=low},0.4744383136,0.4744383136,1
21,{} => {SBRF_1=low},0.4754138341,0.4754138341,1
22,{} => {SBRF_4=low},0.4830655733,0.4830655733,1
23,{} => {SBRF_3=low},0.4900466421,0.4900466421,1
24,{} => {SBVT_0=low},0.5063256409,0.5063256409,1
25,{} => {SBVT_1=low},0.5095875377,0.5095875377,1
26,{} => {SBVT_2=low},0.5135201049,0.5135201049,1
27,{} => {SBVT_3=low},0.5361399872,0.5361399872,1
28,{} => {SBFZ_0=low},0.5479376886,0.5479376886,1
29,{} => {SBVT_4=low},0.5632106819,0.5632106819,1
30,{} => {SBFZ_3=low},0.5778739749,0.5778739749,1
31,{} => {SBFZ_2=low},0.5907081669,0.5907081669,1
32,{} => {SBFZ_1=low},0.5917446575,0.5917446575,1
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1
40,{} => {SBGO_1=low},0.700941987,0.700941987,1
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1
51,{} => {SBEG_2=low},0.937536201,0.937536201,1
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1
90,{SBEG_0=high} => {SBBE_4=low},0.1423955126,0.8766891892,0.9978153247
76,{SBEG_0=high} => {SBFZ_4=low},0.09800932842,0.6034159159,0.9956666142
67,{SBEG_0=high} => {SBVT_0=low},0.08060238393,0.4962462462,0.9800930589
88,{SBEG_0=high} => {SBBE_3=low},0.1348657135,0.8303303303,0.9775095401
81,{SBEG_0=high} => {SBFL_2=low},0.1060268878,0.6527777778,0.9646395821
80,{SBEG_0=high} => {SBFL_3=low},0.1040148767,0.6403903904,0.9551985256
95,{SBEG_0=high} => {SBEG_4=low},0.1502606469,0.9251126126,0.9510316535
84,{SBEG_0=high} => {SBGO_2=low},0.1115141908,0.6865615616,0.9505858055
79,{SBEG_0=high} => {SBFL_1=low},0.1016980154,0.6261261261,0.9446608093
94,{SBEG_0=high} => {SBEG_3=low},0.1474560254,0.9078453453,0.9373933981
66,{SBEG_0=high} => {SBRF_1=low},0.07218851934,0.4444444444,0.9348580385
83,{SBEG_0=high} => {SBGO_1=low},0.1056305826,0.6503378378,0.9278055101
87,{SBEG_0=high} => {SBGO_4=low},0.1134347468,0.6983858859,0.9268581225
69,{SBEG_0=high} => {SBVT_2=low},0.07703563698,0.4742867868,0.923599256
68,{SBEG_0=high} => {SBVT_1=low},0.07639545164,0.4703453453,0.9229922448
85,{SBEG_0=high} => {SBGO_3=low},0.1065451331,0.6559684685,0.8944851044
73,{SBEG_0=high} => {SBFZ_3=low},0.08389476572,0.5165165165,0.893822077
75,{SBEG_0=high} => {SBFZ_1=low},0.08538853154,0.5257132132,0.8884122679
91,{SBEG_0=high} => {SBBE_2=low},0.1254763284,0.7725225225,0.873980214
71,{SBEG_0=high} => {SBFZ_0=low},0.07737097217,0.4763513514,0.8693531422
74,{SBEG_0=high} => {SBFZ_2=low},0.08285827516,0.5101351351,0.8635992588
70,{SBEG_0=high} => {SBVT_3=low},0.07441392556,0.4581456456,0.8545261622
93,{SBEG_0=high} => {SBEG_2=low},0.1275797945,0.785472973,0.8378054865
89,{SBEG_0=high} => {SBBE_1=low},0.1186476847,0.7304804805,0.8376547298
72,{SBEG_0=high} => {SBVT_4=low},0.07499314087,0.4617117117,0.819785076
86,{SBEG_0=high} => {SBBE_0=low},0.09956406426,0.612987988,0.819323811
82,{SBEG_0=high} => {SBFL_4=low},0.0897174039,0.5523648649,0.8129587519
92,{SBEG_0=high} => {SBEG_1=low},0.1011188001,0.6225600601,0.6989949908
