,rules,support,confidence,lift,,
76,{SBFL_0=high} => {SBSP_0=high},0.1093192696,0.41156892,1.30139727,,
77,{SBFL_0=high} => {SBSP_1=high},0.1105081852,0.4160449902,1.286288767,,
78,{SBFL_0=high} => {SBSP_2=high},0.1125811664,0.4238494204,1.280487432,,
85,{SBFL_0=high} => {SBRJ_1=high},0.1186476847,0.4466888557,1.260884135,,
79,{SBFL_0=high} => {SBRJ_0=high},0.1147760876,0.4321129347,1.251952005,,
80,{SBFL_0=high} => {SBPA_0=high},0.1154162729,0.4345231264,1.244752608,,
89,{SBFL_0=high} => {SBPA_1=high},0.1186781697,0.4468036268,1.242708103,,
84,{SBFL_0=high} => {SBRJ_2=high},0.1163308234,0.4379662573,1.241068343,,
88,{SBFL_0=high} => {SBCF_0=high},0.1172148889,0.4412946172,1.229992976,,
115,{SBFL_0=high} => {SBGR_1=high},0.1409017468,0.5304717089,1.229670233,,
118,{SBFL_0=high} => {SBGR_2=high},0.1445599488,0.5442442328,1.229450008,,
92,{SBFL_0=high} => {SBPA_2=high},0.11934884,0.4493285895,1.223383609,,
112,{SBFL_0=high} => {SBGR_0=high},0.1369996647,0.5157810169,1.216680907,,
119,{SBFL_0=high} => {SBGR_3=high},0.1455659543,0.5480316768,1.212701234,,
103,{SBFL_0=high} => {SBBR_0=high},0.1271530043,0.4787099736,1.21222196,,
98,{SBFL_0=high} => {SBCT_1=high},0.1245922629,0.4690692069,1.210135839,,
86,{SBFL_0=high} => {SBSV_0=high},0.113739597,0.4282107196,1.206337705,,
99,{SBFL_0=high} => {SBSV_2=high},0.1241654727,0.4674624125,1.205137497,,
87,{SBFL_0=high} => {SBCT_0=high},0.1145017224,0.4310799954,1.202646461,,
95,{SBFL_0=high} => {SBCF_1=high},0.1197756303,0.4509353839,1.198900421,,
105,{SBFL_0=high} => {SBCT_2=high},0.1273663994,0.4795133708,1.1988017,,
93,{SBFL_0=high} => {SBCT_4=high},0.1180074993,0.4442786641,1.188135742,,
108,{SBFL_0=high} => {SBBR_1=high},0.1295918056,0.4878916561,1.187263353,,
101,{SBFL_0=high} => {SBCF_2=high},0.1241349877,0.4673476415,1.183723626,,
109,{SBFL_0=high} => {SBGL_4=high},0.12852483,0.48387467,1.17748819,,
90,{SBFL_0=high} => {SBKP_3=high},0.1141663872,0.4298175141,1.176805268,,
107,{SBFL_0=high} => {SBGL_2=high},0.1279456147,0.4816940204,1.176633327,,
110,{SBFL_0=high} => {SBCF_3=high},0.1290125903,0.4857110065,1.1742043,,
116,{SBFL_0=high} => {SBBR_3=high},0.1346218334,0.5068288764,1.170727951,,
113,{SBFL_0=high} => {SBGL_3=high},0.1316952718,0.4958108573,1.167893405,,
97,{SBFL_0=high} => {SBGL_0=high},0.1176416791,0.4429014117,1.16516922,,
114,{SBFL_0=high} => {SBBR_2=high},0.1319696369,0.4968437966,1.16306052,,
100,{SBFL_0=high} => {SBCT_3=high},0.121177941,0.4562148514,1.162708086,,
120,{SBFL_0=high} => {SBGR_4=high},0.1398652562,0.5265694939,1.161370208,,
91,{SBFL_0=high} => {SBKP_2=high},0.1131603817,0.42603007,1.16033414,,
83,{SBFL_0=high} => {SBKP_0=high},0.1086790842,0.4091587283,1.160137762,,
82,{SBFL_0=high} => {SBKP_1=high},0.1077645337,0.4057155974,1.15346583,,
96,{SBFL_0=high} => {SBSV_3=high},0.1152943328,0.4340640422,1.150408239,,
81,{SBFL_0=high} => {SBPA_3=high},0.1067280432,0.4018133823,1.146844547,,
94,{SBFL_0=high} => {SBSV_1=high},0.1138615371,0.4286698037,1.145739067,,
104,{SBFL_0=high} => {SBCF_4=high},0.1201719355,0.4524274073,1.143548794,,
106,{SBFL_0=high} => {SBBR_4=high},0.122885102,0.4626420292,1.141313566,,
,,,,,,
,,,,,,
