,rules,support,confidence,lift
75,{SBGO_0=high} => {SBSP_0=high},0.1061793129,0.4234650456,1.339013292
76,{SBGO_0=high} => {SBSP_1=high},0.1059049477,0.4223708207,1.305846374
96,{SBGO_0=high} => {SBCF_1=high},0.1216352163,0.485106383,1.289750744
79,{SBGO_0=high} => {SBRJ_0=high},0.1113007957,0.4438905775,1.286075129
80,{SBGO_0=high} => {SBPA_0=high},0.1108130354,0.4419452888,1.266014436
85,{SBGO_0=high} => {SBRJ_1=high},0.1120324361,0.4468085106,1.261221889
88,{SBGO_0=high} => {SBCF_0=high},0.1125201963,0.4487537994,1.250783489
113,{SBGO_0=high} => {SBGR_0=high},0.1324573972,0.5282674772,1.246135341
116,{SBGO_0=high} => {SBGR_1=high},0.1327012773,0.5292401216,1.226815328
102,{SBGO_0=high} => {SBCF_2=high},0.1204463006,0.4803647416,1.216694048
77,{SBGO_0=high} => {SBSP_2=high},0.100905405,0.4024316109,1.215782293
118,{SBGO_0=high} => {SBGR_2=high},0.1346218334,0.536899696,1.212858669
110,{SBGO_0=high} => {SBBR_1=high},0.1244398378,0.4962917933,1.207704725
103,{SBGO_0=high} => {SBBR_0=high},0.1193793251,0.4761094225,1.205636667
83,{SBGO_0=high} => {SBRJ_2=high},0.1061183428,0.4232218845,1.199287101
119,{SBGO_0=high} => {SBGR_3=high},0.1355363839,0.5405471125,1.196139162
87,{SBGO_0=high} => {SBCT_0=high},0.1074901686,0.4286930091,1.195987139
115,{SBGO_0=high} => {SBBR_2=high},0.1279760997,0.5103951368,1.194782821
78,{SBGO_0=high} => {SBRJ_3=high},0.1011492851,0.4034042553,1.192472721
97,{SBGO_0=high} => {SBSV_3=high},0.1122763162,0.447781155,1.186762966
100,{SBGO_0=high} => {SBSV_2=high},0.1152028778,0.4594528875,1.18448861
89,{SBGO_0=high} => {SBPA_1=high},0.1066670731,0.4254103343,1.183206308
108,{SBGO_0=high} => {SBGL_2=high},0.1209340609,0.4823100304,1.178138054
105,{SBGO_0=high} => {SBCF_4=high},0.1165137335,0.4646808511,1.174520416
99,{SBGO_0=high} => {SBCT_1=high},0.1141054172,0.4550759878,1.174035205
90,{SBGO_0=high} => {SBKP_3=high},0.1072767735,0.4278419453,1.171396322
94,{SBGO_0=high} => {SBCT_4=high},0.1097765448,0.4378115502,1.170840721
120,{SBGO_0=high} => {SBGR_4=high},0.1322744871,0.5275379939,1.163506274
84,{SBGO_0=high} => {SBKP_4=high},0.102673536,0.4094832827,1.159955105
82,{SBGO_0=high} => {SBKP_0=high},0.1023991708,0.4083890578,1.157955421
117,{SBGO_0=high} => {SBBR_3=high},0.1251714782,0.4992097264,1.153128417
86,{SBGO_0=high} => {SBSV_0=high},0.1024906259,0.4087537994,1.151524466
81,{SBGO_0=high} => {SBKP_1=high},0.1015455903,0.4049848024,1.15138815
95,{SBGO_0=high} => {SBSV_1=high},0.1079474438,0.4305167173,1.150675457
93,{SBGO_0=high} => {SBPA_2=high},0.1059659178,0.4226139818,1.150647945
91,{SBGO_0=high} => {SBSV_4=high},0.1054476725,0.4205471125,1.150079777
106,{SBGO_0=high} => {SBCT_2=high},0.1149894827,0.4586018237,1.146522035
111,{SBGO_0=high} => {SBCF_3=high},0.1186476847,0.4731914894,1.14393842
,,,,
92,{SBGO_0=high} => {SBKP_2=high},0.1049294272,0.4184802432,1.139771456
101,{SBGO_0=high} => {SBCT_3=high},0.1115141908,0.4447416413,1.13346749
107,{SBGO_0=high} => {SBBR_4=high},0.1148370576,0.457993921,1.129846927
109,{SBGO_0=high} => {SBGL_4=high},0.1161479133,0.4632218845,1.127230525
,,,,
98,{SBGO_0=high} => {SBGL_0=high},0.1073377435,0.4280851064,1.126191013
104,{SBGO_0=high} => {SBGL_1=high},0.1109959455,0.442674772,1.120971171
114,{SBGO_0=high} => {SBGL_3=high},0.1185257446,0.4727051672,1.113467442
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,{} => {SBRJ_4=low},0.4014876688,0.4014876688,1
2,{} => {SBBR_4=high},0.4053592659,0.4053592659,1
3,{} => {SBKP_1=low},0.4060909063,0.4060909063,1
4,{} => {SBKP_3=low},0.4064872115,0.4064872115,1
5,{} => {SBGL_2=high},0.4093832881,0.4093832881,1
6,{} => {SBGL_4=high},0.410938024,0.410938024,1
7,{} => {SBBR_1=high},0.410938024,0.410938024,1
8,{} => {SBCF_3=high},0.4136511904,0.4136511904,1
9,{} => {SBPA_4=low},0.4223089352,0.4223089352,1
10,{} => {SBGR_0=high},0.423924641,0.423924641,1
11,{} => {SBGL_3=high},0.4245343414,0.4245343414,1
12,{} => {SBBR_2=high},0.4271865378,0.4271865378,1
13,{} => {SBRF_0=low},0.4305398896,0.4305398896,1
14,{} => {SBGR_1=high},0.4313934701,0.4313934701,1
15,{} => {SBBR_3=high},0.4329177209,0.4329177209,1
16,{} => {SBKP_4=low},0.4395024845,0.4395024845,1
17,{} => {SBGR_2=high},0.4426729263,0.4426729263,1
18,{} => {SBGR_3=high},0.4519098863,0.4519098863,1
19,{} => {SBGR_4=high},0.4534036521,0.4534036521,1
20,{} => {SBRF_2=low},0.4744383136,0.4744383136,1
21,{} => {SBRF_1=low},0.4754138341,0.4754138341,1
22,{} => {SBRF_4=low},0.4830655733,0.4830655733,1
23,{} => {SBRF_3=low},0.4900466421,0.4900466421,1
24,{} => {SBVT_0=low},0.5063256409,0.5063256409,1
25,{} => {SBVT_1=low},0.5095875377,0.5095875377,1
26,{} => {SBVT_2=low},0.5135201049,0.5135201049,1
27,{} => {SBVT_3=low},0.5361399872,0.5361399872,1
28,{} => {SBFZ_0=low},0.5479376886,0.5479376886,1
29,{} => {SBVT_4=low},0.5632106819,0.5632106819,1
30,{} => {SBFZ_3=low},0.5778739749,0.5778739749,1
31,{} => {SBFZ_2=low},0.5907081669,0.5907081669,1
32,{} => {SBFZ_1=low},0.5917446575,0.5917446575,1
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1
40,{} => {SBGO_1=low},0.700941987,0.700941987,1
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1
51,{} => {SBEG_2=low},0.937536201,0.937536201,1
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1
66,{SBGO_0=medium} => {SBEG_0=low},0.09300978569,0.7989002357,0.9960973215
68,{SBGO_0=medium} => {SBBE_1=low},0.1011188001,0.868551977,0.9959837272
148,{SBGO_0=high} => {SBBE_2=low},0.2203457001,0.8787841945,0.994197549
112,{SBGO_0=high} => {SBPA_4=low},0.1043806969,0.4162917933,0.9857518008
147,{SBGO_0=high} => {SBBE_4=low},0.2151022772,0.8578723404,0.9763986809
123,{SBGO_0=high} => {SBRF_3=low},0.1190135049,0.4746504559,0.9685822025
61,{SBGO_0=medium} => {SBGO_1=low},0.07819406762,0.671641791,0.9581988288
121,{SBGO_0=high} => {SBRF_2=low},0.113739597,0.4536170213,0.9561138051
136,{SBGO_0=high} => {SBFL_3=low},0.1598634271,0.6375683891,0.9509892627
57,{SBGO_0=medium} => {SBFL_1=low},0.07337743499,0.6302697041,0.9509123863
60,{SBGO_0=medium} => {SBFL_4=low},0.07493217084,0.6436239853,0.9472719666
138,{SBGO_0=high} => {SBFL_4=low},0.1610218578,0.6421884498,0.9451591763
137,{SBGO_0=high} => {SBFL_2=low},0.1595280919,0.636231003,0.9401876562
132,{SBGO_0=high} => {SBFZ_1=low},0.1379447002,0.5501519757,0.9297117747
134,{SBGO_0=high} => {SBFL_0=low},0.1441941286,0.5750759878,0.927535531
129,{SBGO_0=high} => {SBVT_4=low},0.130262476,0.5195136778,0.9224144613
135,{SBGO_0=high} => {SBFL_1=low},0.1517544127,0.6052279635,0.9131309395
133,{SBGO_0=high} => {SBFZ_4=low},0.1381276103,0.550881459,0.9089821176
130,{SBGO_0=high} => {SBFZ_3=low},0.1315428467,0.5246200608,0.9078451073
128,{SBGO_0=high} => {SBFZ_0=low},0.1243483828,0.4959270517,0.9050792854
122,{SBGO_0=high} => {SBRF_4=low},0.1085876292,0.4330699088,0.8965033585
131,{SBGO_0=high} => {SBFZ_2=low},0.1327622474,0.5294832827,0.896353415
65,{SBGO_0=medium} => {SBGO_4=low},0.0772490321,0.6635244828,0.8805920464
127,{SBGO_0=high} => {SBVT_3=low},0.117397799,0.4682066869,0.8732918605
126,{SBGO_0=high} => {SBVT_2=low},0.1121848611,0.4474164134,0.871273411
143,{SBGO_0=high} => {SBGO_4=low},0.1637959943,0.6532522796,0.8669593611
62,{SBGO_0=medium} => {SBGO_2=low},0.07270676463,0.6245090338,0.8646703459
140,{SBGO_0=high} => {SBGO_2=low},0.1565405603,0.6243161094,0.8644032305
63,{SBGO_0=medium} => {SBGO_3=low},0.07331646496,0.6297460068,0.8587278958
125,{SBGO_0=high} => {SBVT_1=low},0.1092278145,0.4356231003,0.8548543048
124,{SBGO_0=high} => {SBVT_0=low},0.1079779288,0.4306382979,0.8505164721
141,{SBGO_0=high} => {SBGO_3=low},0.15593086,0.6218844985,0.8480078651
139,{SBGO_0=high} => {SBGO_1=low},0.144895284,0.5778723404,0.8244224931
