,rules,support,confidence,lift
104,{SBKP_0=high} => {SBKP_1=high},0.1700759077,0.4822370127,1.371019304
114,{SBKP_0=high} => {SBKP_2=high},0.1727585892,0.4898435474,1.334136324
112,{SBKP_0=high} => {SBKP_3=high},0.1711733683,0.4853487769,1.328845333
106,{SBKP_0=high} => {SBKP_4=high},0.163277749,0.4629613623,1.311444004
107,{SBKP_0=high} => {SBRJ_1=high},0.1563271652,0.4432535223,1.2511871
101,{SBKP_0=high} => {SBRJ_0=high},0.1513581075,0.4291641456,1.243408538
111,{SBKP_0=high} => {SBPA_1=high},0.1570892906,0.4454144697,1.2388444
110,{SBKP_0=high} => {SBCF_0=high},0.1552601896,0.440228196,1.227020606
102,{SBKP_0=high} => {SBPA_0=high},0.1506264671,0.4270896361,1.22345833
118,{SBKP_0=high} => {SBCF_1=high},0.161509618,0.4579479644,1.217544746
105,{SBKP_0=high} => {SBRJ_2=high},0.1512666524,0.4289048319,1.215390912
115,{SBKP_0=high} => {SBPA_2=high},0.1561442551,0.442734895,1.205431006
100,{SBKP_0=high} => {SBRJ_3=high},0.1434624882,0.4067767309,1.202441841
119,{SBKP_0=high} => {SBSV_3=high},0.1584611164,0.449304175,1.190799455
124,{SBKP_0=high} => {SBCF_2=high},0.1655336402,0.4693577664,1.188814981
130,{SBKP_0=high} => {SBGL_2=high},0.1715087035,0.4862995937,1.187883355
125,{SBKP_0=high} => {SBGL_1=high},0.16510685,0.4681476359,1.18547529
108,{SBKP_0=high} => {SBSV_0=high},0.1477608755,0.418964474,1.18028956
121,{SBKP_0=high} => {SBCT_1=high},0.1611742828,0.4569971475,1.17899154
109,{SBKP_0=high} => {SBCT_0=high},0.1489802762,0.4224219898,1.178491966
120,{SBKP_0=high} => {SBGL_0=high},0.1579123861,0.4477482929,1.177920222
128,{SBKP_0=high} => {SBCT_2=high},0.1660214005,0.4707407728,1.17686987
103,{SBKP_0=high} => {SBPA_3=high},0.1443160687,0.409196992,1.16791864
122,{SBKP_0=high} => {SBSV_2=high},0.1593756669,0.4518973118,1.165010022
134,{SBKP_0=high} => {SBGR_0=high},0.1740389599,0.493473939,1.164060522
117,{SBKP_0=high} => {SBSV_1=high},0.1534920587,0.4352147982,1.163232382
133,{SBKP_0=high} => {SBCF_3=high},0.1694662074,0.4805082548,1.16162667
127,{SBKP_0=high} => {SBCF_4=high},0.1619059232,0.459071657,1.1603427
135,{SBKP_0=high} => {SBGL_3=high},0.1722708289,0.4884605411,1.150579573
126,{SBKP_0=high} => {SBBR_0=high},0.1590098467,0.450860057,1.141698506
139,{SBKP_0=high} => {SBGR_2=high},0.1772703716,0.5026363558,1.135457639
123,{SBKP_0=high} => {SBCT_3=high},0.1569063805,0.4448958423,1.133860486
116,{SBKP_0=high} => {SBCT_4=high},0.1494070664,0.4236321203,1.13292063
131,{SBKP_0=high} => {SBBR_1=high},0.1639789044,0.4649494338,1.131434442
113,{SBKP_0=high} => {SBSV_4=high},0.144925769,0.4109257498,1.123768018
137,{SBKP_0=high} => {SBGR_1=high},0.1703502728,0.4830149538,1.119662181
132,{SBKP_0=high} => {SBGL_4=high},0.1620888333,0.4595902844,1.118393182
