,rules,support,confidence,lift
100,{SBPA_0=high} => {SBSP_1=high},0.1512971375,0.4334119291,1.339982235
99,{SBPA_0=high} => {SBSP_0=high},0.14687681,0.4207492795,1.330425932
113,{SBPA_0=high} => {SBPA_1=high},0.1657470353,0.4748056938,1.320591078
103,{SBPA_0=high} => {SBRJ_0=high},0.1572417157,0.4504410095,1.305053563
101,{SBPA_0=high} => {SBSP_2=high},0.1501082218,0.430006113,1.299087357
109,{SBPA_0=high} => {SBRJ_1=high},0.1603816724,0.4594358571,1.296865538
98,{SBPA_0=high} => {SBSP_3=high},0.1405054416,0.4024975985,1.288235801
107,{SBPA_0=high} => {SBRJ_2=high},0.1576685059,0.4516636102,1.279882637
111,{SBPA_0=high} => {SBCT_0=high},0.1598634271,0.4579512706,1.27761316
123,{SBPA_0=high} => {SBCT_1=high},0.1709599732,0.4897388874,1.263460851
130,{SBPA_0=high} => {SBCT_2=high},0.1757156358,0.5033621518,1.258424561
116,{SBPA_0=high} => {SBKP_2=high},0.1599853672,0.4583005851,1.248226012
141,{SBPA_0=high} => {SBGR_2=high},0.1924823949,0.5513928915,1.245598858
139,{SBPA_0=high} => {SBGR_1=high},0.1875438222,0.5372456554,1.245372711
128,{SBPA_0=high} => {SBGL_1=high},0.1713257934,0.4907868308,1.242803799
117,{SBPA_0=high} => {SBPA_2=high},0.1591622717,0.4559427124,1.241391832
125,{SBPA_0=high} => {SBCT_3=high},0.1698015425,0.4864204,1.239689875
132,{SBPA_0=high} => {SBGL_2=high},0.1768435814,0.5065933106,1.23745479
114,{SBPA_0=high} => {SBKP_3=high},0.1574855958,0.4511396385,1.235183504
120,{SBPA_0=high} => {SBCF_1=high},0.1618449532,0.4636276308,1.232645256
136,{SBPA_0=high} => {SBGR_0=high},0.1819650642,0.5212645184,1.229615993
129,{SBPA_0=high} => {SBCF_4=high},0.1696491175,0.4859837569,1.228365324
142,{SBPA_0=high} => {SBGR_3=high},0.1937017956,0.5548860362,1.22786877
112,{SBPA_0=high} => {SBCF_0=high},0.1536444837,0.4401362326,1.226764282
133,{SBPA_0=high} => {SBBR_1=high},0.1755327257,0.5028381801,1.223635076
106,{SBPA_0=high} => {SBKP_0=high},0.1506264671,0.4314906995,1.22345833
