,rules,support,confidence,lift,,
126,{SBRF_0=high} => {SBSV_2=high},0.1550163095,0.4726715003,1.218566742,,
121,{SBRF_0=high} => {SBSV_1=high},0.1489802762,0.4542665923,1.214153591,,
114,{SBRF_0=high} => {SBCF_0=high},0.139438466,0.425171965,1.185055312,,
112,{SBRF_0=high} => {SBSV_0=high},0.13770082,0.4198735825,1.182850663,,
122,{SBRF_0=high} => {SBCF_1=high},0.1454744993,0.443576873,1.179336373,,
123,{SBRF_0=high} => {SBSV_3=high},0.1447123739,0.441253021,1.169461327,,
109,{SBRF_0=high} => {SBPA_0=high},0.133859708,0.4081613683,1.169235644,,
130,{SBRF_0=high} => {SBBR_0=high},0.1512971375,0.4613311024,1.168214,,
145,{SBRF_0=high} => {SBGR_2=high},0.1690089321,0.5153374233,1.164149404,,
128,{SBRF_0=high} => {SBCF_2=high},0.150504527,0.4589142963,1.162363189,,
110,{SBRF_0=high} => {SBRJ_2=high},0.1344998933,0.410113404,1.162141499,,
,,,,,,
142,{SBRF_0=high} => {SBGR_1=high},0.1635825992,0.498791597,1.156233535,,
136,{SBRF_0=high} => {SBBR_1=high},0.1556869798,0.4747164901,1.155202153,,
111,{SBRF_0=high} => {SBRJ_1=high},0.1336463128,0.4075106897,1.150294566,,
113,{SBRF_0=high} => {SBCT_0=high},0.1350791086,0.4118795315,1.149080139,,
,,,,,,
139,{SBRF_0=high} => {SBGR_0=high},0.1593146968,0.4857780257,1.145906557,,
137,{SBRF_0=high} => {SBCF_3=high},0.1554430997,0.4739728574,1.145827374,,
124,{SBRF_0=high} => {SBGL_0=high},0.1424869677,0.4344673731,1.142981253,,
118,{SBRF_0=high} => {SBKP_2=high},0.13757888,0.4195017661,1.142553673,,
116,{SBRF_0=high} => {SBKP_3=high},0.1365728744,0.4164342815,1.140163069,,
141,{SBRF_0=high} => {SBBR_2=high},0.1595280919,0.4864287042,1.138679853,,
134,{SBRF_0=high} => {SBGL_2=high},0.1525775082,0.4652351738,1.136429325,,
143,{SBRF_0=high} => {SBBR_3=high},0.1612352529,0.4916341327,1.135629495,,
147,{SBRF_0=high} => {SBGR_4=high},0.168734567,0.5145008366,1.134752299,,
129,{SBRF_0=high} => {SBGL_1=high},0.1469072951,0.4479457148,1.134318611,,
117,{SBRF_0=high} => {SBSV_4=high},0.1353229888,0.4126231642,1.128409975,,
135,{SBRF_0=high} => {SBGL_4=high},0.1512666524,0.4612381484,1.122403188,,
146,{SBRF_0=high} => {SBGR_3=high},0.1659604304,0.5060420152,1.119785228,,
115,{SBRF_0=high} => {SBPA_1=high},0.1314513916,0.4008179959,1.114806912,,
140,{SBRF_0=high} => {SBGL_3=high},0.1551687346,0.4731362707,1.114482916,,
125,{SBRF_0=high} => {SBCT_1=high},0.1415724172,0.4316787507,1.113673461,,
131,{SBRF_0=high} => {SBCF_4=high},0.1443160687,0.440044618,1.112250239,,
133,{SBRF_0=high} => {SBBR_4=high},0.1472731153,0.4490611638,1.107810285,,
132,{SBRF_0=high} => {SBCT_2=high},0.1444684937,0.4405093884,1.101290257,,
119,{SBRF_0=high} => {SBPA_2=high},0.1323964272,0.4036995724,1.099149824,,
120,{SBRF_0=high} => {SBCT_4=high},0.1328537024,0.4050938836,1.083343769,,
,,,,,,
,,,,,,
127,{SBRF_0=high} => {SBCT_3=high},0.1373045148,0.4186651794,1.067009081,,
,,,,,,
64,{SBRF_0=medium} => {SBCF_3=high},0.1059964028,0.4389043171,1.061049327,,
74,{SBRF_0=medium} => {SBGR_4=high},0.1159040332,0.4799293108,1.058503408,,
67,{SBRF_0=medium} => {SBGL_3=high},0.1077035637,0.4459732391,1.050499796,,
,,,,,,
57,{SBRF_0=medium} => {SBCT_3=high},0.09938115416,0.4115122444,1.048779128,,
62,{SBRF_0=medium} => {SBGL_2=high},0.1034051764,0.4281747034,1.045901764,,
72,{SBRF_0=medium} => {SBGR_2=high},0.1117885559,0.4628881596,1.045666297,,
63,{SBRF_0=medium} => {SBGL_4=high},0.1029174161,0.4261550114,1.037029884,,
66,{SBRF_0=medium} => {SBGR_0=high},0.1061183428,0.4394092401,1.036526773,,
58,{SBRF_0=medium} => {SBCF_4=high},0.09895436393,0.4097450139,1.03566541,,
61,{SBRF_0=medium} => {SBBR_4=high},0.1004786148,0.4160565514,1.026389641,,
68,{SBRF_0=medium} => {SBBR_2=high},0.1057830077,0.4380207018,1.02536167,,
69,{SBRF_0=medium} => {SBGR_1=high},0.106453678,0.4407977783,1.021799839,,
,,,,,,
73,{SBRF_0=medium} => {SBGR_3=high},0.1110569155,0.4598586216,1.017589204,,
,,,,,,
,,,,,,
59,{SBRF_0=medium} => {SBCT_2=high},0.09791787337,0.4054531684,1.013648372,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
70,{SBRF_0=medium} => {SBBR_3=high},0.1050208822,0.4348649331,1.00449788,,
,,,,,,
,,,,,,1.091268787
,,,,,,1.111478907
1,{} => {SBRJ_4=low},0.4014876688,0.4014876688,1,,
2,{} => {SBBR_4=high},0.4053592659,0.4053592659,1,,
3,{} => {SBKP_1=low},0.4060909063,0.4060909063,1,,
4,{} => {SBKP_3=low},0.4064872115,0.4064872115,1,,
5,{} => {SBGL_2=high},0.4093832881,0.4093832881,1,,
6,{} => {SBGL_4=high},0.410938024,0.410938024,1,,
7,{} => {SBBR_1=high},0.410938024,0.410938024,1,,
8,{} => {SBCF_3=high},0.4136511904,0.4136511904,1,,
9,{} => {SBPA_4=low},0.4223089352,0.4223089352,1,,
10,{} => {SBGR_0=high},0.423924641,0.423924641,1,,
11,{} => {SBGL_3=high},0.4245343414,0.4245343414,1,,
12,{} => {SBBR_2=high},0.4271865378,0.4271865378,1,,
13,{} => {SBRF_0=low},0.4305398896,0.4305398896,1,,
14,{} => {SBGR_1=high},0.4313934701,0.4313934701,1,,
15,{} => {SBBR_3=high},0.4329177209,0.4329177209,1,,
16,{} => {SBKP_4=low},0.4395024845,0.4395024845,1,,
17,{} => {SBGR_2=high},0.4426729263,0.4426729263,1,,
18,{} => {SBGR_3=high},0.4519098863,0.4519098863,1,,
19,{} => {SBGR_4=high},0.4534036521,0.4534036521,1,,
20,{} => {SBRF_2=low},0.4744383136,0.4744383136,1,,
21,{} => {SBRF_1=low},0.4754138341,0.4754138341,1,,
22,{} => {SBRF_4=low},0.4830655733,0.4830655733,1,,
23,{} => {SBRF_3=low},0.4900466421,0.4900466421,1,,
24,{} => {SBVT_0=low},0.5063256409,0.5063256409,1,,
25,{} => {SBVT_1=low},0.5095875377,0.5095875377,1,,
26,{} => {SBVT_2=low},0.5135201049,0.5135201049,1,,
27,{} => {SBVT_3=low},0.5361399872,0.5361399872,1,,
28,{} => {SBFZ_0=low},0.5479376886,0.5479376886,1,,
29,{} => {SBVT_4=low},0.5632106819,0.5632106819,1,,
30,{} => {SBFZ_3=low},0.5778739749,0.5778739749,1,,
31,{} => {SBFZ_2=low},0.5907081669,0.5907081669,1,,
32,{} => {SBFZ_1=low},0.5917446575,0.5917446575,1,,
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1,,
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1,,
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1,,
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1,,
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1,,
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1,,
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1,,
40,{} => {SBGO_1=low},0.700941987,0.700941987,1,,
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1,,
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1,,
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1,,
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1,,
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1,,
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1,,
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1,,
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1,,
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1,,
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1,,
