,rules,support,confidence,lift
57,{SBRJ_0=high} => {SBSP_0=high},0.1887632229,0.546899841,1.729319017
121,{SBRJ_0=high} => {SBRJ_1=high},0.2104075847,0.6096096096,1.720766201
62,{SBRJ_0=high} => {SBSP_1=high},0.1906837789,0.5524642289,1.708056937
63,{SBRJ_0=high} => {SBSP_2=high},0.1865378167,0.5404522169,1.632755026
119,{SBRJ_0=high} => {SBRJ_2=high},0.1922994848,0.5571453807,1.578787139
64,{SBRJ_0=high} => {SBRJ_3=high},0.1766911563,0.5119236884,1.513258786
56,{SBRJ_0=high} => {SBSP_3=high},0.1625461086,0.4709415298,1.507297785
60,{SBRJ_0=high} => {SBRJ_4=high},0.1551382496,0.4494788907,1.395443503
54,{SBRJ_0=high} => {SBSP_4=high},0.1397738012,0.4049637873,1.383032495
124,{SBRJ_0=high} => {SBCF_0=high},0.1680029266,0.4867514573,1.356691992
59,{SBRJ_0=high} => {SBVT_2=high},0.1484925159,0.430224342,1.339469352
132,{SBRJ_0=high} => {SBCF_1=high},0.1732463494,0.5019431196,1.33451452
55,{SBRJ_0=high} => {SBVT_0=high},0.143188123,0.4148560325,1.333907316
139,{SBRJ_0=high} => {SBGL_1=high},0.1808980886,0.5241123476,1.32719294
134,{SBRJ_0=high} => {SBGL_0=high},0.1740999299,0.5044161809,1.327000079
140,{SBRJ_0=high} => {SBBR_0=high},0.1806237234,0.5233174351,1.325180008
61,{SBRJ_0=high} => {SBVT_1=high},0.146846325,0.4254548666,1.315753369
123,{SBRJ_0=high} => {SBCT_0=high},0.1626070786,0.471118177,1.31434679
144,{SBRJ_0=high} => {SBGL_2=high},0.1856842362,0.5379791556,1.31412095
138,{SBRJ_0=high} => {SBCF_2=high},0.1790080176,0.5186362833,1.313630299
115,{SBRJ_0=high} => {SBPA_0=high},0.1572417157,0.4555732203,1.305053563
145,{SBRJ_0=high} => {SBBR_1=high},0.1850745359,0.5362126833,1.304850493
151,{SBRJ_0=high} => {SBBR_2=high},0.1918726946,0.55590885,1.301325769
150,{SBRJ_0=high} => {SBGL_3=high},0.1883364326,0.5456633104,1.285321957
147,{SBRJ_0=high} => {SBCF_3=high},0.1813553638,0.5254372019,1.270242209
125,{SBRJ_0=high} => {SBPA_1=high},0.1566625004,0.4538950715,1.262431748
135,{SBRJ_0=high} => {SBCT_1=high},0.1685821419,0.4884296061,1.26008308
58,{SBRJ_0=high} => {SBVT_3=high},0.1388287657,0.4022257552,1.257549699
149,{SBRJ_0=high} => {SBGR_0=high},0.1838856202,0.5327680622,1.256751815
152,{SBRJ_0=high} => {SBGR_1=high},0.1869950919,0.5417770712,1.255876847
142,{SBRJ_0=high} => {SBCT_2=high},0.1731853794,0.5017664724,1.254435302
122,{SBRJ_0=high} => {SBSV_0=high},0.1536444837,0.4451510334,1.254061263
128,{SBRJ_0=high} => {SBKP_2=high},0.1579428711,0.4576046635,1.246330602
155,{SBRJ_0=high} => {SBGR_2=high},0.1903789288,0.5515809928,1.24602378
153,{SBRJ_0=high} => {SBBR_3=high},0.1861415114,0.5393040099,1.245742514
118,{SBRJ_0=high} => {SBKP_0=high},0.1513581075,0.4385267621,1.243408538
146,{SBRJ_0=high} => {SBGL_4=high},0.1740999299,0.5044161809,1.227475073
156,{SBRJ_0=high} => {SBGR_3=high},0.190866689,0.5529941706,1.223682392
126,{SBRJ_0=high} => {SBKP_3=high},0.1540103039,0.4462109168,1.221689066
137,{SBRJ_0=high} => {SBCT_3=high},0.165198305,0.4786256845,1.219824282
141,{SBRJ_0=high} => {SBCF_4=high},0.1663567357,0.481981982,1.218250497
131,{SBRJ_0=high} => {SBSV_1=high},0.1565100753,0.4534534535,1.211980252
117,{SBRJ_0=high} => {SBKP_1=high},0.14687681,0.4255431902,1.209836477
133,{SBRJ_0=high} => {SBSV_3=high},0.1573941408,0.4560148384,1.208584854
129,{SBRJ_0=high} => {SBPA_2=high},0.1529738134,0.4432079138,1.206718891
143,{SBRJ_0=high} => {SBBR_4=high},0.1673932262,0.484984985,1.196432463
136,{SBRJ_0=high} => {SBSV_2=high},0.1597414871,0.4628157569,1.193158227
157,{SBRJ_0=high} => {SBGR_4=high},0.1865378167,0.5404522169,1.191989113
130,{SBRJ_0=high} => {SBCT_4=high},0.1519678078,0.4402932344,1.177477496
116,{SBRJ_0=high} => {SBPA_3=high},0.1423345426,0.4123829712,1.177011973
120,{SBRJ_0=high} => {SBKP_4=high},0.1398652562,0.4052287582,1.147903191
127,{SBRJ_0=high} => {SBSV_4=high},0.1444380087,0.4184773008,1.144419416
67,{SBRJ_0=medium} => {SBSP_0=medium},0.1405968966,0.4144872832,1.122280343
66,{SBRJ_0=medium} => {SBSP_1=medium},0.137670335,0.4058596207,1.115306454
65,{SBRJ_0=medium} => {SBSP_2=medium},0.1375179099,0.4054102633,1.11500569
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,{} => {SBRJ_4=low},0.4014876688,0.4014876688,1
2,{} => {SBBR_4=high},0.4053592659,0.4053592659,1
3,{} => {SBKP_1=low},0.4060909063,0.4060909063,1
4,{} => {SBKP_3=low},0.4064872115,0.4064872115,1
5,{} => {SBGL_2=high},0.4093832881,0.4093832881,1
6,{} => {SBBR_1=high},0.410938024,0.410938024,1
7,{} => {SBGL_4=high},0.410938024,0.410938024,1
8,{} => {SBCF_3=high},0.4136511904,0.4136511904,1
9,{} => {SBPA_4=low},0.4223089352,0.4223089352,1
10,{} => {SBGR_0=high},0.423924641,0.423924641,1
11,{} => {SBGL_3=high},0.4245343414,0.4245343414,1
12,{} => {SBBR_2=high},0.4271865378,0.4271865378,1
13,{} => {SBRF_0=low},0.4305398896,0.4305398896,1
14,{} => {SBGR_1=high},0.4313934701,0.4313934701,1
15,{} => {SBBR_3=high},0.4329177209,0.4329177209,1
16,{} => {SBKP_4=low},0.4395024845,0.4395024845,1
17,{} => {SBGR_2=high},0.4426729263,0.4426729263,1
18,{} => {SBGR_3=high},0.4519098863,0.4519098863,1
19,{} => {SBGR_4=high},0.4534036521,0.4534036521,1
20,{} => {SBRF_2=low},0.4744383136,0.4744383136,1
21,{} => {SBRF_1=low},0.4754138341,0.4754138341,1
22,{} => {SBRF_4=low},0.4830655733,0.4830655733,1
23,{} => {SBRF_3=low},0.4900466421,0.4900466421,1
24,{} => {SBVT_0=low},0.5063256409,0.5063256409,1
25,{} => {SBVT_1=low},0.5095875377,0.5095875377,1
26,{} => {SBVT_2=low},0.5135201049,0.5135201049,1
27,{} => {SBVT_3=low},0.5361399872,0.5361399872,1
28,{} => {SBFZ_0=low},0.5479376886,0.5479376886,1
29,{} => {SBVT_4=low},0.5632106819,0.5632106819,1
30,{} => {SBFZ_3=low},0.5778739749,0.5778739749,1
31,{} => {SBFZ_2=low},0.5907081669,0.5907081669,1
32,{} => {SBFZ_1=low},0.5917446575,0.5917446575,1
33,{} => {SBFZ_4=low},0.6060421303,0.6060421303,1
34,{} => {SBFL_0=low},0.6200042679,0.6200042679,1
35,{} => {SBGO_0=low},0.6328384599,0.6328384599,1
36,{} => {SBFL_1=low},0.6628052312,0.6628052312,1
37,{} => {SBFL_3=low},0.6704264854,0.6704264854,1
38,{} => {SBFL_2=low},0.6767063988,0.6767063988,1
39,{} => {SBFL_4=low},0.6794500503,0.6794500503,1
40,{} => {SBGO_1=low},0.700941987,0.700941987,1
41,{} => {SBGO_2=low},0.7222510136,0.7222510136,1
42,{} => {SBGO_3=low},0.7333475597,0.7333475597,1
43,{} => {SBBE_0=low},0.7481632777,0.7481632777,1
44,{} => {SBGO_4=low},0.7534981557,0.7534981557,1
45,{} => {SBEG_0=low},0.8020303021,0.8020303021,1
46,{} => {SBBE_3=low},0.8494345029,0.8494345029,1
47,{} => {SBBE_1=low},0.8720543853,0.8720543853,1
48,{} => {SBBE_4=low},0.8786086638,0.8786086638,1
49,{} => {SBBE_2=low},0.8839130567,0.8839130567,1
50,{} => {SBEG_1=low},0.8906502454,0.8906502454,1
51,{} => {SBEG_2=low},0.937536201,0.937536201,1
52,{} => {SBEG_3=low},0.9684784928,0.9684784928,1
53,{} => {SBEG_4=low},0.9727463951,0.9727463951,1
112,{SBRJ_0=medium} => {SBEG_2=low},0.3178977533,0.9371798328,0.9996198887
105,{SBRJ_0=medium} => {SBGO_4=low},0.2554339542,0.7530331626,0.9993828876
190,{SBRJ_0=high} => {SBEG_4=low},0.3353656678,0.9716481187,0.998870953
71,{SBRJ_0=medium} => {SBKP_3=low},0.13770082,0.4059494922,0.9986771557
90,{SBRJ_0=medium} => {SBVT_4=low},0.190744749,0.562325874,0.998428993
103,{SBRJ_0=medium} => {SBGO_3=low},0.2482699753,0.7319133639,0.9980443164
183,{SBRJ_0=high} => {SBBE_3=low},0.2924732494,0.8473767886,0.9975775479
110,{SBRJ_0=medium} => {SBBE_2=low},0.299058013,0.8816392559,0.9974275741
72,{SBRJ_0=medium} => {SBPA_4=low},0.1428527879,0.421137773,0.9972267644
114,{SBRJ_0=medium} => {SBEG_4=low},0.3289942993,0.9698930529,0.9970667152
