,rules,support,confidence,lift,,
122,{SBSV_0=high} => {SBSV_1=high},0.1744352651,0.4914118859,1.313434702,,
54,{SBSV_0=high} => {SBSP_1=high},0.1452611042,0.4092236345,1.265199141,,
58,{SBSV_0=high} => {SBRJ_0=high},0.1536444837,0.4328409481,1.254061263,,
127,{SBSV_0=high} => {SBSV_2=high},0.1723317989,0.4854860873,1.251603279,,
55,{SBSV_0=high} => {SBRF_2=high},0.1460537146,0.4114565441,1.245111533,,
56,{SBSV_0=high} => {SBSP_2=high},0.1460232296,0.411370663,1.242787977,,
135,{SBSV_0=high} => {SBGL_2=high},0.1803188733,0.5079869461,1.240859021,,
140,{SBSV_0=high} => {SBGL_3=high},0.1867207268,0.5260219856,1.239056383,,
113,{SBSV_0=high} => {SBRJ_1=high},0.1551687346,0.4371350052,1.23391615,,
115,{SBSV_0=high} => {SBCF_0=high},0.1564795903,0.4408278942,1.228692108,,
125,{SBSV_0=high} => {SBGL_0=high},0.16522879,0.4654757815,1.224557066,,
130,{SBSV_0=high} => {SBGL_1=high},0.1701368777,0.4793026451,1.213722763,,
136,{SBSV_0=high} => {SBGL_4=high},0.1769350364,0.4984541395,1.212966702,,
139,{SBSV_0=high} => {SBGR_0=high},0.1823918544,0.5138268636,1.212071236,,
124,{SBSV_0=high} => {SBSV_3=high},0.1621498034,0.4568017863,1.210670518,,
142,{SBSV_0=high} => {SBGR_1=high},0.185318416,0.5220714531,1.210197857,,
57,{SBSV_0=high} => {SBRJ_3=high},0.1448038289,0.4079354174,1.205866946,,
144,{SBSV_0=high} => {SBGR_2=high},0.1894338932,0.5336654071,1.205552396,,
118,{SBSV_0=high} => {SBSV_4=high},0.1563271652,0.4403984885,1.204367788,,
145,{SBSV_0=high} => {SBGR_3=high},0.1930311252,0.5437993817,1.203335882,,
59,{SBSV_0=high} => {SBPA_0=high},0.1488583361,0.4193576091,1.201308851,,
111,{SBSV_0=high} => {SBRJ_2=high},0.150413072,0.4237375472,1.200748338,,
123,{SBSV_0=high} => {SBCF_1=high},0.1591013017,0.4482136723,1.191664216,,
129,{SBSV_0=high} => {SBCF_2=high},0.1668140109,0.4699416008,1.190293748,,
137,{SBSV_0=high} => {SBBR_1=high},0.1730939243,0.4876331158,1.186634206,,
114,{SBSV_0=high} => {SBCT_0=high},0.1502911319,0.4233940227,1.181203787,,
141,{SBSV_0=high} => {SBBR_2=high},0.1790385026,0.5043799382,1.180701856,,
110,{SBSV_0=high} => {SBKP_0=high},0.1477608755,0.416265888,1.18028956,,
109,{SBSV_0=high} => {SBKP_1=high},0.1470902052,0.4143765029,1.178089134,,
117,{SBSV_0=high} => {SBKP_3=high},0.152272658,0.4289762968,1.174502084,,
